iter	RMSE
0	56497.65089
1	56495.53456
2	56493.5643
3	56492.12826
4	56490.81753
5	56489.20958
6	56487.70531
7	56487.16503
8	56485.76834
9	56485.25204
10	56483.95458
11	56482.73762
12	56482.2553
13	56481.78379
14	56480.66243
15	56479.60902
16	56478.95898
17	56478.02149
18	56477.13732
19	56476.30245
20	56475.51321
21	56474.76623
22	56474.0584
23	56473.3869
24	56473.01201
25	56472.38262
26	56471.78439
27	56471.21511
28	56470.87268
29	56470.53792
30	56470.01075
31	56469.69081
32	56469.19557
33	56468.88978
34	56468.42431
35	56467.98007
36	56467.55563
37	56467.14968
38	56466.76104
39	56466.3886
40	56466.1276
41	56465.77617
42	56465.43885
43	56465.32867
44	56465.01312
45	56464.92031
46	56464.6826
47	56464.4502
48	56464.164
49	56464.08636
50	56463.8163
51	56463.5554
52	56463.49486
53	56463.2831
54	56463.04017
55	56462.98925
56	56462.75784
57	56462.56021
58	56462.367
59	56462.17811
60	56461.96675
61	56461.92743
62	56461.74709
63	56461.54909
64	56461.35693
65	56461.17035
66	56461.00561
67	56460.82807
68	56460.80175
69	56460.64445
70	56460.47733
71	56460.31481
72	56460.16783
73	56460.01303
74	56459.86241
75	56459.71582
76	56459.69928
77	56459.55769
78	56459.42654
79	56459.29154
80	56459.16619
81	56459.03745
82	56458.91199
83	56458.78971
84	56458.67049
85	56458.55425
86	56458.44481
87	56458.33782
88	56458.32875
89	56458.32048
90	56458.21305
91	56458.10823
92	56458.00592
93	56457.90607
94	56457.80859
95	56457.71343
96	56457.62052
97	56457.52979
98	56457.4412
99	56457.35469
100	56457.27019
101	56457.18874
102	56457.10803
103	56457.03019
104	56456.95409
105	56456.87969
106	56456.80596
107	56456.73395
108	56456.66443
109	56456.59564
110	56456.5292
111	56456.46349
112	56456.3993
113	56456.33721
114	56456.27589
115	56456.21655
116	56456.15797
117	56456.10074
118	56456.09861
119	56456.04319
120	56455.98862
121	56455.9353
122	56455.88351
123	56455.83289
124	56455.8312
125	56455.78173
126	56455.78022
127	56455.73166
128	56455.68439
129	56455.63819
130	56455.59282
131	56455.59159
132	56455.54731
133	56455.54624
134	56455.503
135	56455.46073
136	56455.41942
137	56455.37903
138	56455.33955
139	56455.33876
140	56455.3002
141	56455.2995
142	56455.26186
143	56455.22503
144	56455.18903
145	56455.15386
146	56455.11945
147	56455.08583
148	56455.08529
149	56455.05242
150	56455.0203
151	56454.9889
152	56454.95819
153	56454.92817
154	56454.92773
155	56454.92733
156	56454.898
157	56454.86933
158	56454.8413
159	56454.84096
160	56454.81357
161	56454.78679
162	56454.78649
163	56454.78622
164	56454.76005
165	56454.73446
166	56454.70945
167	56454.685
168	56454.66109
169	56454.63772
170	56454.61487
171	56454.59254
172	56454.5707
173	56454.54935
174	56454.52848
175	56454.50808
176	56454.48813
177	56454.48794
178	56454.46844
179	56454.46826
180	56454.4492
181	56454.43057
182	56454.41235
183	56454.39455
184	56454.37714
185	56454.36012
186	56454.34348
187	56454.34334
188	56454.32708
189	56454.31117
190	56454.29563
191	56454.29551
192	56454.28031
193	56454.26545
194	56454.26534
195	56454.26523
196	56454.25071
197	56454.23652
198	56454.22265
199	56454.20908
200	56454.19582
201	56454.18286
202	56454.18277
203	56454.1701
204	56454.15771
205	56454.14559
206	56454.13375
207	56454.12217
208	56454.11085
209	56454.11077
210	56454.09971
211	56454.08889
212	56454.07832
213	56454.06799
214	56454.06792
215	56454.05781
216	56454.05775
217	56454.04788
218	56454.03823
219	56454.02878
220	56454.01955
221	56454.01054
222	56454.00171
223	56453.99309
224	56453.98466
225	56453.97642
226	56453.96836
227	56453.96048
228	56453.96043
229	56453.95273
230	56453.94521
231	56453.94516
232	56453.9378
233	56453.9306
234	56453.93056
235	56453.93052
236	56453.93048
237	56453.93045
238	56453.92341
239	56453.92338
240	56453.91652
241	56453.91649
242	56453.90978
243	56453.90975
244	56453.90973
245	56453.90316
246	56453.89673
247	56453.89045
248	56453.8843
249	56453.87831
250	56453.87244
251	56453.86671
252	56453.8611
253	56453.85562
254	56453.85026
255	56453.84502
256	56453.84499
257	56453.83988
258	56453.83986
259	56453.83485
260	56453.82996
261	56453.82517
262	56453.82515
263	56453.82048
264	56453.8159
265	56453.81143
266	56453.80707
267	56453.80704
268	56453.80702
269	56453.80275
270	56453.79858
271	56453.7945
272	56453.79448
273	56453.79049
274	56453.79048
275	56453.78658
276	56453.78276
277	56453.78275
278	56453.77903
279	56453.77901
280	56453.77537
281	56453.77181
282	56453.76833
283	56453.76492
284	56453.76159
285	56453.75834
286	56453.75516
287	56453.75515
288	56453.75513
289	56453.75202
290	56453.74898
291	56453.74601
292	56453.74311
293	56453.7431
294	56453.74027
295	56453.73749
296	56453.73478
297	56453.73212
298	56453.73211
299	56453.7321
300	56453.73209
301	56453.73208
302	56453.73207
303	56453.72948
304	56453.72694
305	56453.72446
306	56453.72204
307	56453.72203
308	56453.71966
309	56453.71735
310	56453.71509
311	56453.71288
312	56453.71072
313	56453.71071
314	56453.70859
315	56453.70653
316	56453.70451
317	56453.70253
318	56453.70252
319	56453.70251
320	56453.70251
321	56453.70058
322	56453.70057
323	56453.69868
324	56453.69684
325	56453.69503
326	56453.69503
327	56453.69326
328	56453.69326
329	56453.69153
330	56453.68985
331	56453.6882
332	56453.68659
333	56453.68659
334	56453.68658
335	56453.68657
336	56453.68657
337	56453.68499
338	56453.68346
339	56453.68345
340	56453.68195
341	56453.68048
342	56453.68047
343	56453.68047
344	56453.67903
345	56453.67902
346	56453.67762
347	56453.67761
348	56453.67761
349	56453.67624
350	56453.67489
351	56453.67489
352	56453.67358
353	56453.67229
354	56453.67104
355	56453.66981
356	56453.66862
357	56453.66744
358	56453.66744
359	56453.6663
360	56453.66518
361	56453.66517
362	56453.66408
363	56453.66301
364	56453.663
365	56453.66196
366	56453.66195
367	56453.66093
368	56453.65993
369	56453.65993
370	56453.65993
371	56453.65895
372	56453.65799
373	56453.65706
374	56453.65615
375	56453.65615
376	56453.65614
377	56453.65525
378	56453.65438
379	56453.65353
380	56453.65269
381	56453.65188
382	56453.65188
383	56453.65108
384	56453.65108
385	56453.65107
386	56453.65107
387	56453.65107
388	56453.65107
389	56453.65029
390	56453.64953
391	56453.64878
392	56453.64878
393	56453.64805
394	56453.64734
395	56453.64665
396	56453.64597
397	56453.64597
398	56453.6453
399	56453.64465
400	56453.64402
401	56453.6434
402	56453.64279
403	56453.64279
404	56453.6422
405	56453.64162
406	56453.64105
407	56453.6405
408	56453.63996
409	56453.63943
410	56453.63943
411	56453.63891
412	56453.63891
413	56453.6389
414	56453.6389
415	56453.6389
416	56453.63839
417	56453.63839
418	56453.6379
419	56453.6379
420	56453.63741
421	56453.63694
422	56453.63648
423	56453.63648
424	56453.63648
425	56453.63648
426	56453.63602
427	56453.63558
428	56453.63558
429	56453.63515
430	56453.63473
431	56453.63432
432	56453.63431
433	56453.63391
434	56453.63352
435	56453.63352
436	56453.63352
437	56453.63351
438	56453.63351
439	56453.63313
440	56453.63275
441	56453.63275
442	56453.63275
443	56453.63275
444	56453.63238
445	56453.63238
446	56453.63202
447	56453.63202
448	56453.63167
449	56453.63132
450	56453.63099
451	56453.63066
452	56453.63034
453	56453.63002
454	56453.63002
455	56453.63002
456	56453.62972
457	56453.62971
458	56453.62971
459	56453.62971
460	56453.62971
461	56453.62971
462	56453.62941
463	56453.62941
464	56453.62941
465	56453.62941
466	56453.62941
467	56453.62912
468	56453.62883
469	56453.62855
470	56453.62855
471	56453.62855
472	56453.62855
473	56453.62855
474	56453.62827
475	56453.62827
476	56453.62827
477	56453.62827
478	56453.62827
479	56453.62827
480	56453.628
481	56453.62774
482	56453.62774
483	56453.62774
484	56453.62749
485	56453.62724
486	56453.62723
487	56453.62699
488	56453.62675
489	56453.62675
490	56453.62675
491	56453.62675
492	56453.62675
493	56453.62652
494	56453.62652
495	56453.62629
496	56453.62629
497	56453.62629
498	56453.62606
499	56453.62584
500	56453.62563
501	56453.62542
502	56453.62522
503	56453.62502
504	56453.62483
505	56453.62482
506	56453.62482
507	56453.62463
508	56453.62445
509	56453.62445
510	56453.62427
511	56453.62409
512	56453.62409
513	56453.62391
514	56453.62374
515	56453.62374
516	56453.62358
517	56453.62358
518	56453.62358
519	56453.62341
520	56453.62326
521	56453.6231
522	56453.62295
523	56453.6228
524	56453.62266
525	56453.62251
526	56453.62251
527	56453.62251
528	56453.62251
529	56453.62251
530	56453.62237
531	56453.62237
532	56453.62237
533	56453.62237
534	56453.62224
535	56453.62224
536	56453.62224
537	56453.6221
538	56453.6221
539	56453.6221
540	56453.62197
541	56453.62197
542	56453.62197
543	56453.62197
544	56453.62185
545	56453.62185
546	56453.62172
547	56453.62172
548	56453.62172
549	56453.6216
550	56453.62148
551	56453.62148
552	56453.62137
553	56453.62137
554	56453.62137
555	56453.62126
556	56453.62115
557	56453.62104
558	56453.62093
559	56453.62083
560	56453.62073
561	56453.62063
562	56453.62053
563	56453.62053
564	56453.62044
565	56453.62044
566	56453.62044
567	56453.62044
568	56453.62044
569	56453.62044
570	56453.62035
571	56453.62026
572	56453.62026
