iter	Passed	Remaining
0	0	724
1	1	838
2	2	797
3	2	742
4	3	717
5	4	702
6	4	684
7	5	664
8	5	657
9	6	641
10	7	640
11	7	654
12	9	689
13	9	672
14	10	666
15	10	659
16	11	655
17	12	682
18	14	732
19	15	739
20	15	736
21	16	722
22	16	721
23	17	714
24	18	702
25	18	700
26	19	693
27	19	691
28	20	682
29	20	674
30	21	673
31	22	672
32	23	682
33	24	694
34	25	701
35	26	702
36	26	697
37	27	695
38	28	692
39	28	690
40	29	685
41	29	680
42	30	685
43	31	681
44	32	679
45	32	674
46	32	667
47	33	663
48	34	661
49	34	657
50	35	664
51	36	666
52	37	665
53	37	665
54	38	664
55	39	660
56	39	658
57	40	655
58	40	651
59	41	647
60	42	650
61	42	650
62	43	647
63	44	644
64	44	644
65	45	644
66	46	642
67	46	640
68	47	639
69	47	635
70	48	634
71	49	632
72	49	629
73	50	628
74	50	627
75	51	626
76	52	624
77	52	623
78	53	621
79	53	620
80	54	617
81	54	615
82	55	613
83	56	614
84	57	615
85	57	614
86	58	613
87	59	612
88	59	610
89	60	608
90	60	606
91	61	604
92	61	602
93	62	602
94	63	601
95	63	600
96	64	598
97	64	596
98	65	595
99	66	594
100	66	593
101	67	590
102	67	589
103	68	587
104	68	585
105	69	585
106	70	585
107	70	585
108	71	585
109	72	585
110	72	584
111	73	582
112	74	582
113	74	581
114	75	581
115	76	579
116	76	580
117	77	580
118	78	579
119	78	577
120	79	577
121	80	576
122	80	575
123	81	574
124	81	573
125	82	572
126	83	572
127	84	573
128	84	571
129	85	570
130	86	575
131	88	579
132	89	583
133	90	582
134	90	582
135	91	581
136	92	580
137	92	579
138	93	579
139	94	578
140	94	577
141	95	575
142	95	574
143	96	573
144	97	572
145	97	570
146	98	570
147	98	568
148	99	567
149	100	567
150	100	566
151	101	566
152	102	566
153	103	566
154	103	566
155	104	566
156	105	565
157	106	565
158	106	564
159	107	563
160	108	565
161	109	565
162	109	564
163	110	563
164	111	562
165	111	561
166	112	559
167	112	559
168	113	558
169	114	558
170	115	558
171	115	556
172	116	557
173	117	559
174	118	558
175	119	557
176	119	557
177	120	556
178	121	555
179	121	554
180	122	553
181	122	552
182	123	550
183	123	549
184	124	547
185	124	545
186	125	544
187	126	544
188	126	543
189	127	543
190	128	542
191	128	541
192	129	541
193	130	541
194	131	540
195	131	541
196	132	541
197	133	541
198	134	540
199	135	540
200	135	539
201	136	538
202	136	537
203	137	536
204	138	537
205	139	536
206	139	535
207	140	534
208	141	534
209	141	533
210	142	533
211	143	532
212	143	531
213	144	530
214	145	529
215	146	530
216	146	529
217	147	528
218	147	527
219	148	526
220	149	526
221	149	525
222	150	524
223	151	523
224	151	522
225	152	522
226	153	521
227	154	521
228	154	520
229	155	520
230	155	519
231	156	518
232	157	517
233	157	517
234	158	516
235	159	515
236	159	514
237	160	513
238	161	514
239	162	513
240	162	512
241	163	511
242	163	510
243	164	509
244	165	508
245	165	508
246	166	507
247	167	506
248	167	505
249	168	504
250	168	503
251	169	502
252	169	501
253	170	500
254	171	500
255	171	499
256	172	498
257	173	497
258	173	496
259	174	495
260	174	495
261	175	494
262	176	494
263	176	493
264	177	492
265	178	492
266	179	491
267	179	490
268	180	489
269	180	488
270	181	487
271	181	487
272	182	486
273	183	487
274	185	489
275	187	491
276	188	492
277	189	492
278	190	493
279	191	493
280	192	492
281	193	491
282	193	491
283	194	490
284	195	490
285	196	490
286	197	489
287	197	489
288	198	488
289	199	487
290	199	486
291	200	486
292	201	485
293	201	484
294	202	483
295	203	483
296	204	483
297	204	482
298	205	481
299	205	480
300	206	479
301	207	478
302	207	477
303	208	476
304	208	476
305	209	475
306	210	474
307	210	474
308	211	473
309	212	472
310	213	472
311	213	471
312	214	470
313	215	469
314	215	469
315	216	468
316	217	467
317	217	466
318	218	465
319	218	464
320	219	463
321	220	463
322	220	462
323	221	461
324	221	460
325	222	460
326	223	459
327	223	458
328	224	457
329	225	456
330	225	456
331	226	455
332	227	455
333	228	454
334	228	454
335	229	453
336	230	453
337	231	452
338	231	452
339	232	451
340	233	451
341	234	450
342	234	449
343	235	449
344	236	448
345	236	447
346	237	446
347	238	445
348	238	444
349	239	443
350	239	442
351	240	442
352	241	441
353	241	441
354	242	440
355	243	439
356	244	439
357	244	439
358	245	438
359	245	437
360	246	436
361	246	435
362	248	435
363	248	434
364	249	433
365	249	432
366	250	431
367	250	430
368	251	430
369	252	429
370	252	428
371	253	428
372	254	427
373	254	426
374	255	425
375	256	425
376	256	424
377	257	424
378	258	423
379	259	423
380	260	423
381	261	422
382	262	422
383	263	422
384	263	421
385	264	420
386	265	421
387	266	420
388	267	419
389	268	419
390	268	418
391	269	417
392	269	416
393	270	415
394	271	415
395	271	414
396	272	414
397	273	413
398	273	412
399	274	412
400	275	411
401	276	410
402	277	411
403	278	411
404	280	411
405	281	412
406	283	413
407	285	413
408	285	412
409	286	412
410	287	411
411	288	411
412	288	410
413	289	409
414	290	409
415	290	408
416	291	407
417	291	406
418	292	405
419	293	405
420	294	404
421	294	403
422	295	403
423	296	402
424	297	402
425	298	401
426	298	401
427	299	400
428	300	399
429	301	399
430	301	398
431	302	397
432	303	397
433	303	396
434	304	395
435	304	394
436	305	393
437	306	393
438	306	392
439	307	391
440	308	391
441	309	390
442	310	389
443	310	389
444	311	388
445	312	387
446	312	387
447	313	386
448	314	385
449	315	385
450	315	384
451	316	384
452	317	383
453	318	383
454	319	382
455	320	382
456	321	381
457	321	380
458	322	379
459	322	379
460	323	378
461	324	377
462	324	376
463	325	375
464	325	374
465	326	374
466	327	373
467	328	373
468	328	372
469	329	371
470	330	371
471	330	370
472	331	369
473	332	368
474	332	367
475	333	367
476	334	366
477	334	365
478	335	364
479	336	364
480	336	363
481	337	362
482	338	361
483	338	361
484	339	360
485	340	360
486	342	360
487	344	361
488	345	360
489	345	359
490	346	359
491	347	358
492	347	357
493	348	357
494	349	356
495	350	355
496	350	355
497	351	354
498	352	353
499	352	352
500	353	352
501	354	351
502	355	351
503	357	351
504	359	352
505	360	352
506	361	351
507	362	350
508	362	350
509	363	349
510	364	348
511	364	347
512	365	346
513	365	345
514	366	345
515	367	344
516	367	343
517	368	342
518	368	341
519	369	341
520	370	340
521	371	339
522	371	339
523	372	338
524	373	337
525	373	336
526	374	336
527	375	335
528	375	334
529	376	333
530	377	333
531	377	332
532	378	331
533	379	331
534	380	330
535	380	329
536	381	328
537	381	328
538	382	327
539	383	326
540	384	326
541	385	325
542	386	325
543	386	324
544	387	323
545	388	322
546	389	322
547	389	321
548	390	320
549	390	319
550	391	319
551	392	318
552	392	317
553	393	316
554	394	316
555	394	315
556	395	314
557	396	313
558	396	313
559	397	312
560	398	311
561	399	311
562	400	310
563	400	309
564	401	309
565	402	308
566	402	307
567	403	306
568	404	306
569	404	305
570	405	304
571	406	304
572	407	303
573	407	302
574	408	301
575	408	300
576	409	300
577	410	299
578	410	298
579	411	297
580	411	297
581	412	296
582	413	295
583	413	294
584	414	294
585	415	293
586	415	292
587	416	292
588	417	291
589	418	290
590	418	289
591	419	289
592	420	288
593	420	287
594	421	286
595	421	285
596	422	285
597	423	284
598	423	283
599	424	282
600	425	282
601	425	281
602	426	280
603	427	280
604	428	279
605	428	278
606	429	278
607	430	277
608	430	276
609	431	275
610	431	274
611	432	274
612	432	273
613	433	272
614	434	271
615	434	271
616	435	270
617	436	269
618	436	268
619	437	268
620	439	268
621	439	267
622	440	266
623	441	265
624	441	265
625	442	264
626	443	263
627	443	262
628	444	262
629	445	261
630	445	260
631	446	259
632	447	259
633	447	258
634	448	257
635	448	256
636	449	256
637	450	255
638	450	254
639	451	253
640	451	253
641	452	252
642	453	251
643	453	250
644	454	250
645	455	249
646	455	248
647	456	247
648	457	247
649	457	246
650	458	245
651	458	244
652	459	244
653	460	243
654	460	242
655	461	241
656	462	241
657	462	240
658	463	239
659	463	238
660	464	238
661	464	237
662	465	236
663	465	235
664	466	235
665	467	234
666	467	233
667	468	232
668	468	231
669	469	231
670	470	230
671	470	229
672	471	229
673	472	228
674	472	227
675	473	226
676	474	226
677	474	225
678	475	224
679	476	224
680	477	223
681	478	222
682	478	222
683	479	221
684	479	220
685	480	219
686	481	219
687	481	218
688	482	217
689	483	217
690	483	216
691	484	215
692	485	215
693	486	214
694	486	213
695	487	212
696	487	212
697	488	211
698	489	210
699	489	209
700	491	209
701	492	209
702	493	208
703	493	207
704	494	206
705	494	206
706	495	205
707	495	204
708	496	203
709	496	202
710	497	202
711	497	201
712	498	200
713	498	199
714	499	199
715	500	198
716	500	197
717	501	196
718	501	196
719	502	195
720	502	194
721	503	193
722	503	192
723	504	192
724	504	191
725	505	190
726	505	189
727	506	189
728	507	188
729	507	187
730	508	187
731	508	186
732	509	185
733	509	184
734	510	184
735	511	183
736	511	182
737	512	181
738	513	181
739	513	180
740	514	179
741	515	179
742	516	178
743	516	177
744	517	177
745	518	176
746	518	175
747	519	175
748	520	174
749	521	173
750	521	172
751	522	172
752	523	171
753	523	170
754	524	170
755	525	169
756	525	168
757	526	168
758	526	167
759	527	166
760	528	165
761	529	165
762	529	164
763	530	163
764	530	163
765	531	162
766	532	161
767	532	160
768	533	160
769	533	159
770	534	158
771	534	157
772	535	157
773	536	156
774	536	155
775	537	155
776	537	154
777	538	153
778	539	152
779	539	152
780	540	151
781	540	150
782	541	150
783	541	149
784	542	148
785	543	147
786	543	147
787	544	146
788	545	145
789	545	145
790	546	144
791	547	143
792	547	142
793	548	142
794	548	141
795	549	140
796	549	140
797	550	139
798	551	138
799	551	137
800	552	137
801	553	136
802	555	136
803	555	135
804	556	134
805	556	134
806	557	133
807	557	132
808	558	131
809	559	131
810	559	130
811	560	129
812	560	129
813	561	128
814	562	127
815	562	126
816	563	126
817	564	125
818	564	124
819	565	124
820	565	123
821	566	122
822	567	122
823	568	121
824	568	120
825	569	119
826	570	119
827	570	118
828	571	117
829	571	117
830	572	116
831	573	115
832	573	115
833	574	114
834	575	113
835	575	112
836	576	112
837	577	111
838	578	110
839	578	110
840	579	109
841	580	108
842	580	108
843	581	107
844	582	106
845	582	106
846	583	105
847	583	104
848	584	103
849	584	103
850	585	102
851	585	101
852	586	101
853	586	100
854	587	99
855	587	98
856	588	98
857	589	97
858	590	96
859	590	96
860	591	95
861	591	94
862	592	94
863	593	93
864	593	92
865	594	92
866	595	91
867	595	90
868	596	89
869	596	89
870	597	88
871	598	87
872	598	87
873	599	86
874	599	85
875	600	84
876	601	84
877	601	83
878	602	82
879	602	82
880	603	81
881	603	80
882	604	80
883	605	79
884	605	78
885	606	78
886	607	77
887	608	76
888	608	76
889	609	75
890	610	74
891	610	73
892	611	73
893	611	72
894	612	71
895	613	71
896	613	70
897	614	69
898	614	69
899	615	68
900	616	67
901	616	66
902	617	66
903	617	65
904	618	64
905	619	64
906	619	63
907	620	62
908	620	62
909	621	61
910	622	60
911	622	60
912	623	59
913	624	58
914	624	58
915	625	57
916	625	56
917	626	55
918	626	55
919	627	54
920	627	53
921	628	53
922	629	52
923	629	51
924	630	51
925	630	50
926	631	49
927	632	49
928	632	48
929	633	47
930	633	46
931	634	46
932	635	45
933	636	44
934	636	44
935	637	43
936	637	42
937	638	42
938	638	41
939	639	40
940	639	40
941	640	39
942	640	38
943	641	38
944	642	37
945	642	36
946	643	36
947	644	35
948	645	34
949	645	33
950	646	33
951	647	32
952	647	31
953	648	31
954	648	30
955	649	29
956	649	29
957	650	28
958	651	27
959	651	27
960	652	26
961	652	25
962	653	25
963	654	24
964	654	23
965	655	23
966	655	22
967	656	21
968	657	21
969	657	20
970	658	19
971	659	18
972	660	18
973	661	17
974	661	16
975	662	16
976	663	15
977	663	14
978	664	14
979	665	13
980	666	12
981	667	12
982	667	11
983	668	10
984	668	10
985	669	9
986	670	8
987	670	8
988	671	7
989	671	6
990	672	6
991	672	5
992	673	4
993	674	4
994	675	3
995	675	2
996	676	2
997	677	1
998	677	0
999	678	0
